Label,Collected Date,pH,TKP (mg P/L),TKN (mg N/L),16S,mcyA.M,mcyA.A,mcyA.P,year
3-21300004,2018-06-06 11:15:00,8.5,1.751,0.175,4140000,0,0,0,2018
5-21300005,2018-06-20 07:01:00,7.96,1.043,0.334,2510000,33400,0,0,2018
5-21620001,2018-06-20 13:30:00,9.1,0.988,0.441,5890000,21200,0,0,2018
15-21520001,2018-08-28 14:20:00,8.7,0.959,0.114,0,0,0,0,2018
13-21810002,2018-08-14 11:00:00,8.3,1.141,0.291,23500000,10700,0,0,2018
6-21420001,2018-06-27 09:00:00,8,1.352,0.454,1880000,2730,0,0,2018
12-21520001,2018-08-07 13:35:00,8.8,0.672,-0.205,10200000,0,0,0,2018
13-21520001,2018-08-14 13:45:00,8.4,1.094,0.27,15800000,0,0,0,2018
14-21920001,2018-08-20 11:00:00,7.4,1.0865,-0.1215,50700000,4820,0,0,2018
11-21300001,2018-08-01 11:45:00,8.5,0.19,0.155,12900000,75200,0,0,2018
14-21300003,2018-08-20 14:30:00,8.2,1.091,0.151,16100000,11500,0,0,2018
6-21300003,2018-06-27 08:40:00,8.08,1.259,0.331,7420000,4100,0,0,2018
1-21300005,2018-05-23 07:00:00,8,1.238,0.502,782000,2230,0,0,2018
10-21070001,2018-07-24 10:00:00,9.3,-0.011,0.242,7360000,30600,0,36500,2018
14-21420001,2018-08-22 09:00:00,8.15,1.0365,0.249,27800000,19600,0,0,2018
2-21130002,2018-05-29 09:00:00,8,1.247,0.775,835000,2210,0,0,2018
11-21300003,2018-08-01 11:15:00,8.7,0.095,0.163,17200000,43000,0,0,2018
13-21300001,2018-08-15 10:20:00,8.1,1.063,0.289,22500000,72600,0,0,2018
9-21040001,2018-07-18 10:15:00,8.5,1.07277576853526,0.159,13700000,81100,0,0,2018
4-21350001,2018-06-13 11:40:00,8,1.559,0.334,10800000,18000,0,0,2018
14-21270001,2018-08-22 11:31:00,8.62,1.005,0.165,6850000,0,0,0,2018
2-21070001,2018-05-29 08:41:00,8.58,1.276,0.436,1310000,2660,0,0,2018
6-21260001,2018-06-27 11:00:00,8,1.176,0.372,6100000,5410,0,0,2018
15-21910001,2018-08-29 07:00:00,7.79,1.043,-0.013,7650000,0,0,0,2018
13-21270001,2018-08-15 11:23:00,8.81,1.031,0.282,9620000,0,0,0,2018
12-21270001,2018-08-08 11:46:00,9.13,0.739,-0.084,6e+06,0,0,0,2018
9-21300001,2018-07-18 10:30:00,8.5,1.04305605786618,0.231,8430000,81100,0,0,2018
1-21130001,2018-05-22 11:00:00,8.4,1.251,0.663,771000,7690,0,0,2018
9-21270001,2018-07-18 12:15:00,8.5,0.95254068716094,0.116,3900000,0,0,0,2018
3-21670001,2018-06-05 10:30:00,7.84,1.286,0.347,5140000,693,0,0,2018
15-21070001,2018-08-28 10:50:00,9.1,1.243,-0.139,21700000,38400,0,63400,2018
14-21300002,2018-08-20 14:00:00,8.3,1.13,0.193,11800000,41200,0,0,2018
7-21270001,2018-07-03 10:40:00,8.72,1.239,0.506,2180000,0,0,0,2018
10-21300001,2018-07-25 09:50:00,8.2,0.242,0.264,8670000,53800,0,0,2018
